HP1BP3	OR1Q1
PCDHA12	PTPLAD1
RPL17	SNORD8
GNG12	LOC441155
NXPE4	KIAA1191
CDK7	CUTC
UTP15	PART1
C2orf44	MEN1
PARL	C11orf70
SRRM2	MAP3K11
SPATA21	SLC2A10
TAAR1	RPAP3
RAD1	ZAN
AJUBA	HNRNPD
UBE2NL	C8orf48
HIST1H3J	LNX1
INSIG1	BICD2
AMER1	BAI2
NCR3LG1	RGS9
TUSC2	RNF123
PGM2L1	NRK
FMNL2	STAG2
OR51Q1	PEX19
LINC00087	ARID3A
SYT7	FGD3
MMP10	ZMYND10
BDKRB2	SOX14
DHX15	WBSCR16
HCFC2	TM7SF2
COQ7	MZT2B
AGRN	NOSIP
TSFM	MALT1
PCSK5	FBXO36
CELA1	POLRMT
NEUROG2	SMARCA1
ALK	AKR1C4
GDAP2	HIST2H2BF
CEP192	SEC31A
RPS6KA5	LOC390937
IGSF22	PIWIL2
LMLN	TMEM261
BRMS1L	KIAA1310
UBE2E3	FAM114A2
AGAP1	PSMC5
WDR24	SLC30A1
TMEM182	SNORD73A
TBX3	RILP
OR5AS1	COL8A2
HUS1	OLFM1
MYST3	ZHX1-C8orf76
SITPEC	NLGN3
MYST1	DHX58
CASP5	ATG3
SLC22A6	TTC1
TMCC2	RBP3
CDH7	RASL12
LINC00942	GIT1
C11orf46	SNORD28
C7orf43	ARID2
PSMG4	KCNRG
ANO4	C12orf29
HYPM	TRIM65
LINC00448	MR1
WBS2	FBXL19
HMCES	MMRN2
THUMPD1	SCX
GPX8	BRINP3
PAM16	DOK5
CUX1	SMARCE1
NDUFB5	TMEM259
DNAJB3	LINC00114
CENPW	ELOVL2
NBEAL2	ZBTB25
ATAD2B	AIRE
HMGXB3	RNASE7
TBC1D29	ZNF335
ZNF705G	TRAJ43
INE1	OR1D2
GALNT14	EPB41L4B
METTL2A	NECAB1
HMGB4	ACY1
ACTL8	TBX18
CTRB2	YWHAG
ISCA2	NCR3LG1
PRAMEF14	CYSLTR2
TIAL1	MMS22L
TMSB4XP8	GNL1
KCNQ3	CREBZF
ZNF653	ZBTB1
C7orf49	TRAPPC4
DLG2	TMEM14C
STX19	TRAK1
POTEC	MYO1E
MRX6	SUDS3
LINC00563	POMT1
SDS	DCTN3
JUNB	DNTTIP2
GPSM2	SLITRK1
TMC1	CYLD
SLC30A7	C1QA
IL36B	SCARA5
STX2	MARCH7
CDC20P1	TIMM13
SERP1	ATP5L
IFT20	MYST1
SGSH	PPP1R42
GJC3	PWP1
PRRG4	MRX81
ANGPTL2	ANGPTL1
KIAA1147	MRX4
MEIS3	ECHDC2
CASP6	NKX2-6
MMP12	CDK19
RPL37A	FGF16
LAMC1	NEK4
SLC51A	PANK1
PRR16	ETM1
SUPV3L1	CHP1
HSDL2	FGD6
RSRC2	LINC00229
DGCR6	SEL1L3
HSF4	GCK
CHEK1	TCEA3
C22orf46	ZBTB22
DDX1	PDZD4
NOL12	MIF4GD
PBX1	LINC01049
PRCC	PYDC2
LAGE3	ATP5S
ZCWPW2	DAD1
ZFHX4	LY6K
SLC1A3	APH1A
NSMF	NCBP1
METTL21A	SHISA5
CREB5	COL8A1
RHOB	PARK11
HPGDS	TFAP2A
NADK	PLCZ1
CAMK1D	SHPRH
MKI67	TDRD9
RPS19BP1	C20orf57
RIPPLY1	ZNF609
FBXL2	TOR2A
PSG3	TNFAIP2
IFNW1	CENTD2
MYNN	TAF11
UBQLN3	IL33
PEX2	SNX14
C17orf103	CD70
NOTCH2NL	PUF60
LZIC	USP44
SAC3D1	TLL2
GPR64	RDH5
LINC00533	ASB4
AKAP8L	FAM65A
NAT8	TARDBP
HCG8	RPS19
DTWD1	LINC00311
ALDH2	OR2H2
ZFYVE28	ACTL9
CLN9	CLCN2
CD9	SGTB
LINC01035	PKLR
IGLC7	DOCK3
C20orf11	METTL8
SLC25A30	LINC00317
C10orf78	TMEM91
YTHDF3	SIGIRR
NXT1	QKI
CD55	SLC35A3
NDUFC1	OSER1
ACADSB	NOL4
RTEL1	TSLP
TMEM74	CNOT6
LINC00550	LINC00163
USP17L27	PMS2L1
YWHAQ	TGM6
ARPC3	KDELR3
TXNDC5	ACTN1
KRTAP20-1	HBQ1
COG3	TMEM213
CNKSR1	SCGB1D1
ITIH3	IPO8
ZNF181	SNORD127
MUC4	GPR128
SPDL1	SWAP70
CKS1BP6	RIC8B
C15orf57	OR2W1
KRR1	KITLG
RBM11	ZNF568
FLCN	SIGLEC14
TMEM161A	KLHL18
LINC00260	LINC00853
KCNK16	COX7A2
LCE1C	NFU1
LINC00582	KLF10
TRAJ20	PBP
ZKSCAN2	BMS1
C12orf43	LEFTY1
RPL7A	MON2
SRR	C14orf147
TAS2R16	HSBP1L1
RYR3	CREBZF
RPL35	ANKRD1
TJP2	PPP1R13B
LRRK1	TPO
C10orf54	C19orf48
TRAJ15	FGD6
TMCO3	AMBP
RGMA	IGFN1
OR2T11	KIAA0586
MSL2	RHOT2
VEGFA	SCGB1D2
CYP4V2	FZD8
OBSCN	D2HGDH
ALOX12B	HOXD@
ATXN7L3B	PEX16
MUCL1	CLCA4
SUSD2	BPGM
PTPN7	SIGLEC16
INO80B-WBP1	TNNI3
RAB39A	LAMA2
PRKG2	KIF1C
GAREML	KRT36
SPTLC1	SEC61G
DCTN6	TIMELESS
TMC1	SPINK6
PCP4L1	GNG13
ESAM	ECH1
GTF2IRD1	MDGA2
SAMD4A	SLC16A13
EPS8L3	C2CD5
CEP44	SNAPC4
CCDC153	ANKRD18B
PAQR8	EME2
MPZL2	JMJD6
MRX42	OR51T1
DLGAP4	TGOLN2
TMEM205	CGGBP1
TAF13	AGO4
MYT1L	CD74
GNG2	TMOD1
RTCD1	FSHMD1A
WHSC1	KRTAP24-1
TSSK4	IGSF11
TMEM245	TUBB2C
CCDC109B	ADARB2
LINC00856	COL7A1
STAB1	ZDBF2
MYZAP	LINC00917
LRBA	CPSF7
NOP14	CNOT6L
TTC7B	BECN1P1
LAIR1	MEPCE
NANOS3	MRPS34
SNRNP200	F8A3
TAOK3	DPCD
CACNA1F	TNRC6A
DUSP27	IFLTD1
RC3H2	PPP1R36
HOXB2	XAGE1E
GOPC	SCA21
LSAMP	EIF1AX
IFT122	SNCG
UBE2J2	MIR16-1
RFX5	KRT26
NDUFS2	TRIM6
CPN2	LINC00498
C2orf42	PEX6
MIR204	CNKSR3
EIF4G1	HELZ2
OR11H1	TRAPPC2P1
NSRP1	CD9
LRFN1	HK1
CBL	CYTH2
LYPD6	SLC26A4
LGALS13	C16orf73
FN3KRP	HSPA7
PIK3IP1	KRTAP19-1
VTA1	CSH2
AOM	USH1G
IL13RA2	RAB5A
IFNL1	EXT3
PPP1R1B	PI4K2B
LGALS3	KRBOX4
PPP2R5B	NGFRAP1
ZNF404	OR10H2
POLB	CHST2
NDRG2	SLC25A27
EEPD1	C9orf106
HM13	ENOPH1
SPOCK2	TRAPPC1
LINC00111	OAP
ETM2	CSRNP2
POMC	MAP4K2
KCNQ3	KCNJ10
SDCBP	SPHK2
TIMM23	PHACTR2
CSH2	MRX50
HULC	IMP3
ZIM3	ZNF638
BEST4	CLEC7A
ADIPOR2	REPS2
SEMA3E	SATB1
RRP36	MYO15B
TRIM59	ADCK4
LMF2	DYT17
PCM1	ZDHHC8
LINC00984	PTGFRN
CA14	GSE1
CGRRF1	MYST2
WDR65	GAS8
SDK1	TRIM10
GRIA3	SLC7A4
ELMOD1	ZNF789
DUX4	KCTD13
SBNO2	ZNF639
LINC00343	LINC00557
DGCR2	SMARCD3
ELF1	MEGF6
HIST2H3D	NKX2-3
TMEM208	SS18
KRT85	PRB4
FSBP	CYP4B1
HDDC2	ZNF880
ZSWIM1	MSK10
FOXD2	DTYMK
ZBTB3	HIBADH
DPP8	TMEM27
OR52H1	SLC16A6
LARP1	BAHD1
SC4MOL	KRT18
FMO1	PDLIM5
PRKCQ	ATHS
PC	LCP2
DPF3	GRHL3
OR7D4	TCF19
MIR409	APMAP
MUC3B	SREK1
APCS	TSPAN6
ITSN2	C22orf39
CPNE6	IFT20
PPIAL4D	LINC00520
GTF3C1	EMC4
TCEAL3	TBC1D17
HS3ST2	ARTN
KYNU	C3orf33
PELP1	CCDC85A
UBQLN3	TLK2
TMEM53	ADAM29
B4GALT3	SMAD6
RRP1	IL1RAP
GALK1	TNFRSF6B
RPL10P1	WDYHV1
ZEB2	WDR90
CCNI	GOT2
PTGDR	ECH1
CAPN5	ZNF273
GLYATL3	GLI3
MAF1	CDC45
DYSF	ABCD4
BANK1	UBE2V2
C1orf131	ANTXR1
MAN1C1	TENM4
DARC	TF
TMEM260	ZGLP1
BARHL2	METTL21A
RASD2	RLIM
CCDC138	PAK6
DMRT1	LSM7
CLDN18	TRAJ6
CUL4B	ITGA8
LINC00309	LRRTM3
LINC00634	CR2
NKX6-1	NEIL1
LINC00483	ATP5L2
AP2B1	CDH26
PPP1R35	SRSF11
RPL19P12	FAM19A4
NT5C	ORC2L
CAMTA2	WDR25
MAST1	NOL6
XRCC2	KCTD3
DPH6	ORC3
ISG20L2	NOB1
GOT1L1	TUSC2
TMC6	NEK7
ARMC7	SMC1A
KCNV2	PEX26
CEP162	AK1
ACAP1	ZEB2
LSM8	P2RX4
PEX10	LTBP2
PIK3R3	NUDCD3
OAT	S100G
LINC00638	GPATCH8
RGMB	DNM2
PPME1	GPR82
ADH1A	OR1E2
PTPN5	RNF185
NLGN2	LINC00841
OTP	TMEM123
MUC21	CD27
MUSTN1	LINC00163
PIDD	UBA5
EIF4G2	C4BPB
IFITM1	KRTAP5-5
SAP30L	GPR89B
MMP9	NPPC
RBBP4	GLIPR2
FOXL2	POLA2
OR11H1	CD248
MAP1S	CCL27
ERVV-1	RNF128
TRHR	MYOC
LUZP1	USH2A
CNOT11	DFNA5
ESCO2	CTSD
SNAPC2	SKIV2L
TEX264	FAIM3
LY86	ZC3HAV1
A1CF	COP
UBR1	NDST1
ORC6L	NDST1
PNPLA6	WBP1
PLAC1	ESM1
RCHY1	LINC00492
SNRPN	NIP7
SEMA3B	LONP2
HLA-DRB5	TECPR1
CENPT	OR4K3
DPP7	SLC6A12
OR5K1	DDX10
ARPC1A	RCV1
TSHR	PIP
KIAA1841	PASD1
SPECC1L	MAN2A1
MAPRE2	LLPH
FSTL3	SLC18B1
ZNF618	RAD54B
OR8I2	DMGDH
POU5F2	KRTAP4-4
PCDHB2	CRABP2
FAT	KIF2B
ALOX12B	CCAT2
SEC11C	HSPE1
ZIM2	ZNF354C
EFHC1	SRD5A2
LINC00635	TMC3
HAS1	FZD2
HS3ST2	NHEJ1
ORAI2	KY
CENPJ	ZKSCAN2
LINC00963	NRSN1
CILP	SLC1A5
EOGT	HSP90B2P
THAP6	ZMYM6
CRYAA	HRASLS2
TYW1B	PHACTR4
DUSP28	WRAP53
GPR149	GPNMB
PSMG4	ARSK
CALML5	GCN1L1
WDR92	C1QTNF1
TTI1	LINC00704
HLA-H	AIRE
RGPD3	PARPBP
OR2T3	BFAR
MYCL	RHOT1
ZNF492	EVC2
ZYG11A	FANCC
LIPA	ZNF277
RGMB	C10orf54
ZMYM4	KIAA2022
LAX1	TTC30B
PLA2G4E	UBXN8
DCLRE1B	SIGIRR
LAMB1	TRANK1
LINC00273	TK1
OR51F2	PRX
APOM	MT-RNR1
FABP12	ALG13
LINC00889	SLC9A3R1
CLASRP	SLC17A8
CMTM7	NBN
GABRA4	MIR1273D
FN3KRP	ARAF
ANXA10	CORD1
PTMA	RRN3
AGT	DPYSL5
NXF4	KCNAB2
GNG10	PAIP2
MS4A8	OR52E6
DBI	KLKB1
TCEANC2	OR56B4
LOC100294033	ITCH
AGBL2	CORO1A
RGS2	OR10G7
PDIA3	SUMO4
KRTAP10-4	CCND3
RBPMS2	UNC93B2
RAB5A	FBXO32
SEC22C	CRTAM
PM20D1	C22orf28
OPA5	DTNA
HCG8	TBX20
NRSN2	STK25
KIAA1033	TAAR6
CABLES2	MYO16
SIRPG	GPN2
TMEM140	HIATL1
PSD	GPR89A
PTX4	NUDT18
HRSP12	PAQR8
MYO5C	KIAA1462
BCRP7	STOX2
HLA-F	RASGRF2
ZNHIT2	CDC42
SENP8	TGS1
CTSK	ZNF831
CDX4	C9orf40
KRTAP4-9	HES6
RBP1	DDX25
PSMA5	CCDC62
TBRG4	ASPA
RNF19B	NUP188
C1QTNF9B	HOXD12
TTLL3	LINC00965
SIX5	BUD31
C1QTNF4	CCDC64
ARHGAP27	TMEM116
EBLN2	SUPT20HL1
PLTP	FBXO47
LGALS4	TCL1A
PHF20L1	SYNC
CD109	ZNF568
GABPB1	TSPY2
NCOA3	DNAJB5
LINC00950	CLN3
KIAA0226	CACNB4
RLTPR	CDCA7L
CTSF	C5orf51
LINC00174	MRX15
AARS2	CPSF3
LINC00332	STARD7
SLC16A2	ZMYND8
APLP1	IGF2BP3
OR51B4	ZNF3
NEO1	REG3A
LOR	KSS
GBF1	NFATC2IP
SCRN2	TMPRSS11A
GAB2	SH3RF1
MYMY1	NTN5
MOB1A	HMGA1
EIF2AK4	ZNF525
SEPT9	FABP3
C2orf43	ZNF479
LSR	IRG1
NSUN3	KIAA1456
BAP1	ITGB1
CNKSR2	BCAP29
NRBF2	OR14A16
SDR16C5	ZNF763
IL37	FGF23
DLX6	ZNF747
RNF185	TOMM20
C1QTNF5	ANG
ANKRD65	RPL11
DAD1	SOS1
BPIFB1	PPP2R2C
RTCB	JMJD5
KIAA1683	GMCL1
CCL4	OR51S1
SET	TM2D2
TP53RK	CACTIN
IRF9	OR4N2
COG5	MIR133A1
AIC	NAP1L6
CCDC113	RARG
CTAG1A	MBL2
HIST1H2AE	LINC00839
MT-CO1	LINC00854
CANT1	FBXL5
TSPYL5	MAGEB2
EIF3C	ABCE1
INPP3	SPIN2B
LINC00330	CENPU
LINC00433	TUBB7P
RAB11FIP5	DLK2
B3GAT1	SLC25A18
MAPK10	BUB3
EIF3CL	DTD1
ZNF474	DENND5A
TMEM75	MPP2
OR4C13	ARPC1A
PRSS56	PGM3
NME6	MCM3AP
SLC10A1	TCF21
B4GALNT1	DSCR3
UBQLNL	INMT
EPHA4	KLRC1
TMEM194A	ZNF337
SEPHS1	TLL1
TMEM121	SENP1
CYP2A13	LIX1L
EIF4E	ASTE1
MAGEA11	GOLPH3L
DBH	EMP2
C5AR2	CHD3
CYBA	ALG10
ZNF775	MUC5AC
MAP3K14	FOXD4L5
PDK3	IPO7
ZNF568	FOXA3
MAPK1	LRMP
LINC00305	EXOC3L2
CPSF6	SNCA
MAPK6	MRX35
ITGA6	ROBLD3
DUSP3	TRIM25
RABL6	TSPAN7
CACNA1H	THEGL
SOX5	ARL6IP6
LINC00515	MAN2B1
SNAPC5	PRDM10
SLC22A18	ZNF81
NDUFS2	KLF5
POLR2F	TSEN54
OR52E2	PPCDC
CARD17	MZT1
DCP2	NPRL2
OR1D2	PLAC1
LCN15	ATP6V0C
E2F1	MRPS7
RBM45	PBLD
NT5E	KCNE2
EPHX4	UCHL1
COL5A3	ACE
OR10V1	TNS4
TARBP1	CTDSPL
KIAA0753	IFNGR1
TOM1L1	ADAT3
STOX2	RRP15
OR4L1	NDUFS8
ZPR1	SLC7A5
NTNG2	ZNF333
RWDD2B	KCTD1
TRO	LINC00639
PRDX2	RNF222
SLC39A7	PARP16
ATP1B1	MSL2
LEO1	TNFRSF8
CNGA3	LDOC1L
LINC00322	ITGA2
ZBTB8A	FNBP1L
CGN	SEC61B
SLC9C1	FGF9
SMAP2	CSTF3
ZNF792	FSTL1
TSN	HIST1H3D
LINC00974	KCNE2
GDPD2	TMUB1
COG7	BOD1L1
CEP41	PKD1
HLA-B	PLIN2
TRIM25	POLR3H
APLN	ARMCX3
FERMT1	GPR65
HSF4	RAB6A
S100A7	MDM2
CCDC39	RNASEH2B
YIPF1	CHAT
IDH2	TRAJ18
DCAF8L2	PYROXD1
PARP15	TBPL1
PSORS10	ZFR
DEFB132	LINC00272
LCN15	VPRBP
RHO	TNFSF15
ACSBG2	ZNF8
TAS2R38	TCTA
MAFF	KREMEN2
CLTB	UQCRQ
PTH1R	MIR421
LINC00307	DEFB110
MAP4	KIF3A
DAPK1	METTL3
DCP1A	KLK10
HIF1A	FAHD2B
CRABP2	TRAJ50
OLIG3	SC5DL
OR6C6	NTPCR
RARRES1	PIGX
UBAP1	CENPH
SASH3	PLEKHG1
COQ10B	SV2C
KRT34	C5orf22
GNA14	LINC00205
ABHD6	PAPOLG
ADAMTS4	BEND7
TUBA4A	GPR37L1
OR51T1	NOL9
ELMOD1	TFAP2D
TBX18	OR5M8
CD82	SEMA3A
LPCAT2	NFKBIA
TOR1AIP1	CHST2
PTH2	ZNF736
GPSM3	TLCD1
CPED1	RALA
P2RY4	RP66
MARK4	NEDD8-MDP1
EPS15L1	CAMK1D
NDE1	ADAM12
GAB1	ADRA2A
ZNF546	CCNF
CYP26C1	RANBP17
MSD	DPH5
SCAP	RAET1G
LZTS1	ARID2
ARHGAP24	COPS7B
RAPSN	CYP3A5
DUSP27	UBE3B
MIR30B	WDR73
FANK1	RSN
AKR1B1P2	PRKCG
YWHAQ	CEP152
FRAS1	CTAG1A
CCDC146	ZNF56
KIAA1191	DHRS7B
HPS5	CTPS1
CLU	JAK1
C19orf52	PARP12
CKS1BP6	DUS3L
MRM1	GRIP2
LRRC58	CASP4
TXNIP	CYB5A
SNURF	DUSP10
GPR160	MAP3K9
KLRD1	EPHA7
RDH10	ZNF704
PAG1	GRTP1
FABP6	MORN3
BHMT	PPDPF
ORC1L	ZFP14
CATSPER1	MRX20
LINC00346	KRTAP20-2
MTA3	TGFBRAP1
ZNF812	PSME4
AQR	OR56B4
SEMA4A	MAPK10
CREBBP	TCEAL7
MIR182	NSDHL
IGFL3	KRT27
PLEKHF2	CHIC2
WASH2P	TRIM69
BCAR4	HCN2
KRBOX4	SAMD8
LINC00501	HOXC4
TAS2R30	GIPC3
CPEB2	NSEP1
TMEM159	PPID
TRIM27	DHRS11
UTP14A	TAF7
NR1I3	GRTP1
LUC7L3	FLVCR2
SLC9A2	HDHD2
LINC00341	TCF3
NFKBIL1	SH2D5
MPE	LINC00689
EXOSC8	LETMD1
ZMYM3	CHAC2
DOLK	ZNF30
LRRK1	LGR6
OR4X1	LOC653375
ITGAD	ZNF770
UGT1A10	TTC23L
OSBPL10	TSNAXIP1
FAM98B	GDF15
LINC00875	CSTF1
TLE6	LINC01039
RASEF	SPG36
ZDHHC2	BAX
ENG	EIF4A3
PTPRH	KCNJ3
GPX2	ZNF641
BCL2L10	UBE2J1
LINC00853	PARP10
TNFRSF8	CDC26
OPA1	PRPH2
MTIF3	TINAGL1
APOA1BP	TRAK1
HP1BP3	ZBTB17
PODXL2	OR51I1
SOX6	FNDC3B
GUCY1A3	PHF3
KNTC1	MOG
KDM4B	ACP2
TEX15	GABRR3
FAM161A	FAM76B
ASB14	TIGD4
PHKG1	ATP12A
GDNF	TMEM26
PIWIL3	PDE1B
ERAP1	MCF2L
PUM1	TEX28
IL17F	PHTF2
SPEF2	INSC
GDAP1	SCA38
CELF5	LRRC8D
BRI3	CASKP1
STK6	THADA
LINC00501	IGHM
FOXN1	TCF15
FBXL22	KDM5A
BZW2	IL12B
MUC7	ALDH1A1
H2AFJ	DGCR14
CXCL11	OR4N5
ZNF597	EFCAB8
SLC26A10	DGCR2
SERPINH1	AFM
UBE3D	NPC2
ELOVL2	LINC01035
DEFB118	SPANXB1
SPRR1B	ZCCHC7
HIST1H4A	CFP
MT1A	HTR3A
XYLT2	PCED1A
DENND1C	KMT2E
FCGRT	SYT17
SGTA	MIR181A2
DPT	TUBA3D
GLCCI1	CFD
WDR45L	ZNF737
ELAVL4	TBL1Y
LINC00914	ZNF720
RBBP5	MRX72
ADH1A	MRX7
ZNF891	SLC35C2
CDKN3	BOP1
BRF2	GALNT1
AKTIP	EPHX3
NAPB	MAGEC1
EFTUD2	AIFM2
ENO2	RAB6B
TRIP13	SCAMP4
RPL21	KCTD11
PHF23	MMP14
SPAG6	MAN2C1
ESRRG	CST5
MTMR7	MAPT
RAVER2	SLIT2
ZNF669	ACTA1
TENM4	NPSR1
ITFG3	TMEM175
GPRC6A	LIN37
CDK7	PDE6B
IDDM10	CDC42EP3
MANBAL	GSTK1
KLHL9	SPIB
KCTD13	IHH
MXI1	EXOC4
GREM2	GTF3C6
CDS1	DPYD
EFR3B	PICALM
ARRDC1	FGF17
TMCC3	SNORD89
CCL26	VIMP
CES5A	AOC2
ABCG8	OSGIN1
FGFBP1	LAMA1
DOPEY2	WAPAL
GDF3	LYG2
CCRN4L	POM121B
RNF169	DCD
PRRX2	PCDHA12
MIF4GD	CTSE
ANKRD31	PPME1
TMEM67	TMEM183A
ADAM10	SCA29
ZNF683	TMEM65
ERCC4	SLC27A2
CCDC167	MRPL3
C1orf43	PHKG1
ZNF280D	OBSCN
MYBL1	MAP7D3
TBC1D25	CHRNA6
GDAP1	SLC6A4
ORAOV1	SLC4A10
FUT4	GAREML
DHRSX	MYF6
RS1	TTC1
RILP	LINC00909
ZNF282	DAPK3
CROCC	ARL6IP5
JUND	WNT6
HDAC3	TAS2R43
PDGFB	FUT5
PAK4	MSH5
KRT40	AMN
ZXDA	CUTA
SYT12	PALLD
PDSS2	NOMO3
LY6G6F	KCNK18
KIAA2018	MHS6
ALPI	DEDD
MIR222	SYCP2
APOBEC3G	ENO2
PAFAH1B2	UBE2E3
PDRG1	PIGC
GUCA2B	NXF5
ARFGAP1	BANP
TMC2	ZNF735
MDM4	WDR83OS
CXCL10	CDKN1A
MYO10	MLLT4
TIMD4	EBPL
HMBOX1	LINC00221
RCVRN	ZNF608
SLC48A1	ZNF410
INTS3	ADAD2
JAK2	DYT21
ZNF674	LRFN2
CEBPD	TFPI
CTAG1B	PLEKHF1
LINC01073	ZFYVE21
OR13G1	FHL2
OR4Q2	ANXA2
CSNK1G3	KRT33A
SPATA5L1	GRIN2D
MAGEA11	LINC00317
TDRD9	SLC17A7
SOD2	POU4F2
MELK	MARCH10
OR11H2	NACA3P
SRSF10	CAPN6
PVT1	NPM2
CCDC88C	CNTN1
MLX	LRRC24
CXorf38	DEFB134
PALM2	CYR61
PCYT1A	PWP1
ADCY7	RBM18
MOSPD3	MSBP1
TMEM195	CAPN3
MDC1	SEPHS1
GLB1L2	RXFP4
CLDN2	SLC25A16
PIPOX	SEMA6B
CNTN2	KIF21B
PTGDR	TTI1
TEX41	CAMLG
RPS27A	SCN7A
SEPT12	PCDHA7
CXCL6	TDH
APOBEC2	MRAS
TOM1L1	DACT1
COMMD5	AKR1B10
ABTB2	ODC1
DPCD	CELA3B
KLK11	KIR2DL2
HGD	KDELC2
NPC1L1	BANK1
ZEB2	PLBD1
RAB22A	RGMA
PPARG	RPL37AP8
RMI2	DLX4
SLC12A4	GAN
DPAGT1	TCF7
KLF9	GCN1L1
COL6A1	CBLB
MTA2	PRMT9
SLC30A7	TTC17
OPRK1	USH1A
FANCD2OS	EIF3S10
NUP50	AKT1S1
ART5	WBS2
PCGF1	C1orf101
MED19	NF1L6
CEP131	SPSB1
LUC7L	LINC00366
KRIT1	ZNF514
C20orf112	ZNF177
FGFR4	DECR1
CX3CL1	SEL1L2
MXI1	TBC1D20
INA	TMED1
C14orf166	RNF6
PDE6B	GUSBP2
SV2A	HOXB@
ZC3H12A	ACOXL
SNORA29	ZNF98
ZNF143	TRAPPC2L
LZTFL1	ACACA
SYCP2	SMC1A
OR2V1	SNF8
ZADH2	ANXA4
OR52L1	RP1L1
MAP3K2	PIGP
TRIM16	IPO11
NPR3	TRAPPC13
GPN1	PLBD2
PDZRN4	IGHMBP2
MRT23	ALG6
LRRC52	LINC00557
OR13C3	FEZF2
CACHD1	KRT40
LRP1B	AR
DKFZp686M216	LINC00272
ZFP90	CCAT1
POR	SNAP47
HPT	SLC2A9
CCT6A	DDX47
NGF	SYS1
SLC20A2	HSFY1
PPP1R7	SELV
CDX2	TMEM38A
ABCF2	HIST2H4B
ANKRD1	SOX7
GRID2IP	GNB3
TANC1	ZCCHC12
TBC1D2	CTAG1B
CCDC6	VAT1L
CCR8	SEMA4D
KLHL8	KIAA1984
ITK	SELV
SCOC	SLC35A5
FYCO1	PRAMEF17
IL26	ERMN
OR9G4	GYG2
ACOT8	SUMO2
ANKRD12	HTR3B
GAL	ATP1A3
CHCHD1	TRIL
OR13H1	IQGAP1
SOD3	KLRB1
SKOR1	GOT1L1
LEPROT	SPINK7
MANF	ABCA4
GADD45A	FGD5
DNAJB5	P4HB
ARHGAP17	EIF4A3
GPR20	NDUFV2
S100A2	PSMB7
ZNF578	USP54
KRTAP10-1	SLC26A6
CKS2	FBXO42
SPG16	TIMM44
EDN3	MIR574
EIF4ENIF1	OR10A2
JMJD7	SOGA3
MCHR1	CA2
HSD17B6	DBNL
NMBR	PSORS5
ENY2	ZNF551
KBTBD7	ADCK3
CCDC172	KLHL14
TRAJ31	AIM1L
KRTAP21-3	ADAMTS5
WDR44	DNALI1
PAPD5	PHKB
FLRT2	XCR1
EFNA3	GPR150
C15orf43	ZNF133
PCDHB5	RET
UNC93B8	OR7E24
RAB9A	ZNF521
ITGA8	CCDC122
CD151	UBQLN1
MIR128-2	ANKS6
NOV	DPH1
DHRS3	FUBP3
CDC42EP5	B3GNT7
LFNG	SRSF10
LINC00589	KIAA0922
SIT1	ODAM
FPR1	GTF3C6
LINC00661	MYEOV
H2BFWT	CDC20P1
PLAC4	ZNF706
CDYL	MT-ND6
SLC10A1	RNF166
JSRP1	TET3
CDK2	PIGA
C21orf91	SPRTN
BARHL1	XPO7
PRRX2	FLT1
CD46	OR10A4
HLA-DOB	S100A11
PPARD	CHGA
UTP14C	TLR5
BBS2	IFNL4
MIR1279	BCL10
C1orf111	HOMER1
ACTR10	VMA21
CT62	FGF11
ARHGAP26	GUK2
LINC00926	NDEL1
CHMP4B	VPS54
FBXO11	BBIP1
LINC01072	GEM
PLK5	SCN3A
NFKBIZ	LINC00700
CEP63	SLC50A1
RPL12	SPINK6
ACAP2	FAS-AS1
25653	OR10H4
PDAP1	FBXO45
FSTL1	RSC1A1
LINC00442	FUBP1
ARL11	PREP
MYBPC1	LPIN2
POLD3	UBFD1
CDK9	NXF2B
NAIP	PLCB2
CLDN22	CYP4F3
HPN	SOX21
SYF2	PLXNA4
LBX1	NRXN2
TNFSF9	SLC5A7
EMCN	ANKRD36
DHRS12	CNTNAP1
BCL2L15	CCDC148
DDA1	C20orf112
SYBU	DNAJB3
LMNB2	KRTAP2-4
PPP2R1B	KPNA3
GZMM	NCR2
SOX18	KLHDC4
SDC4	LHX2
TNIP2	C14orf156
ZIC1	TMEM85
CENPN	OR2T27
CAMSAP3	MUC5AC
PUS1	NME3
UCHL5	C1orf26
OMD	RPS26P6
SETDB1	NAGLU
HBM	OR4A15
ARHGAP32	OR1A2
LIN7B	RPEP2
CRYGC	MATN2
SLC6A4	GABARAPL2
SLC25A44	NINL
IMPG2	EFEMP2
PSG11	CYP2A13
SNORD55	ARG2
TRMT10B	ITK
PIN1	IL2RG
ANKHD1	CNBD2
CDK16	SUSD3
TBC1D30	TNFAIP8L2
RASA2	TFAP2D
XRN2	ZNF554
HEATR3	MTNR1B
VASP	PTK6
STAG3	ANPEP
ELP5	RSL1D1
RSPRY1	GREM1
TIAM1	FXYD2
RAD1	ADCY7
NKIRAS2	LSG1
AOAH	ERN1
WDR7	POR
AKR1B15	MPHOSPH9
RAC1	APBA3
CNAP1	C1D
SNORD17	ICR4
BAI1	PRKAR1B
ZNF180	CRTC3
MAP7D3	HNRNPA0
TRAPPC3	ZNF770
OR5M8	ZNF812
MRT4	DYNC1LI1
ARSE	ERCC6L2
EXOC2	TTC7B
ZNF641	PHKA2
GMNN	IST1
ATAD3B	FAM189A2
EIF1	HINT2
